,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_hr,Dep_min,Arrival_hr,Arrival_min,duration_hr,duration_min
0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,3897,24,3,22,20,1,10,2,50
1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,7662,1,5,5,50,13,15,7,25
2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,13882,9,6,9,25,4,25,19,00
3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,6218,12,5,18,5,23,30,5,25
4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,13302,1,3,16,50,21,35,4,45
5,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,3873,24,6,9,0,11,25,2,25
6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,11087,12,3,18,55,10,25,15,30
7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,22270,1,3,8,0,5,5,21,5
8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,11087,12,3,8,55,10,25,25,30
9,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1,8625,27,5,11,25,19,15,7,50
10,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,8907,1,6,9,45,23,0,13,15
11,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,4174,18,4,20,20,22,55,2,35
12,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,4667,24,6,11,40,13,55,2,15
13,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,9663,9,5,21,10,9,20,12,10
